date,broker,stockCode,iteration,type,price,shares,fees,totalValue
8-Dec-22,Thndr,EGCH,0,Buy,6.04,2,1.03,13.11
11-Dec-22,Thndr,AZS,0,Buy,12.13,3,0.01,36.4
11-Dec-22,Thndr,CCAP,0,Buy,1.69,5,1.02,9.47
11-Dec-22,Thndr,FWRY,0,Buy,5.05,5,1.03,26.28
11-Dec-22,Thndr,EGCH,0,Buy,6.15,3,1.03,19.48
11-Dec-22,Thndr,CI30,0,Buy,9.88,2,0,19.76
11-Dec-22,Thndr,AZO,0,Buy,12.9,2,0,25.8
14-Dec-22,Thndr,PHDC,0,Buy,1.895,10,1.03,19.98
14-Dec-22,Thndr,AZS,0,Buy,12.14282,4,0,48.57128
15-Dec-22,Thndr,ABUK,0,Buy,38.65,1,1.04,39.69
3-Jan-23,Thndr,SKPC,0,Buy,13.6,5,1.04,69.04
4-Jan-23,Thndr,JUFO,0,Buy,9.13,5,1.04,46.69
4-Jan-23,Thndr,SKPC,0,Buy,13.48,3,1.06,41.5
28-Jan-23,Thndr,JUFO,0,Sell,10.13,5,1.06,49.59
30-Jan-23,Thndr,CCAP,0,Buy,2.34,25,1.06,59.56
30-Jan-23,Thndr,SKPC,0,Buy,16.25,12,1.15,196.15
5-Feb-23,Thndr,SKPC,0,Buy,14.5,10,1.1,146.1
5-Feb-23,Thndr,CCAP,0,Buy,1.9,10,1.03,20.03
11-Feb-23,Thndr,AZO,0,Buy,14.76353,6,0,88.58118
13-Feb-23,Thndr,PHDC,0,Buy,2.1,10,1.03,22.03
13-Feb-23,Thndr,CI30,0,Buy,11.23,8,0.03,89.87
13-Feb-23,Thndr,CCAP,0,Buy,2,10,1.03,21.03
16-Feb-23,Thndr,CCAP,0,Buy,2.11,15,1.04,32.69
16-Feb-23,Thndr,PHDC,0,Buy,2.15,20,1.04,44.04
23-Feb-23,Thndr,SKPC,0,Dividend,0,6,0,0
6-Mar-23,Thndr,PHDC,0,Buy,2.06,15,1.04,31.94
7-Mar-23,Thndr,PHDC,0,Buy,2.04,45,1.08,92.88
8-Mar-23,Thndr,,,TopUp,1750,0,0,0
7-Mar-23,Thndr,FWRY,0,Buy,5.45,25,1.1,137.35
7-Mar-23,Thndr,RMDA,0,Buy,2.39,30,1.07,72.77
12-Mar-23,Thndr,CCAP,0,Buy,2.03,35,1.07,72.12
12-Mar-23,Thndr,RMDA,0,Buy,2.27,68,1.13,155.49
12-Mar-23,Thndr,PHDC,0,Buy,1.95,50,1.08,98.58
13-Mar-23,Thndr,,,TopUp,250,0,0,0
13-Mar-23,Thndr,OIH,0,Buy,0.22,100,1.03,23.03
13-Mar-23,Thndr,RMDA,0,Buy,2.23,102,1.16,228.62
13-Mar-23,Thndr,OIH,0,Buy,0.219,95,1.03,21.835
14-Mar-23,Thndr,,,TopUp,450,0,0,0
15-Mar-23,Thndr,RMDA,0,Buy,2.1,100,1.15,211.15
15-Mar-23,Thndr,PHDC,0,Buy,1.7,100,1.13,171.13
15-Mar-23,Thndr,OIH,0,Buy,0.2,300,1.03,61.03
15-Mar-23,Thndr,OIH,0,Buy,0.178,35,1.03,7.26
15-Mar-23,Thndr,OIH,0,Buy,0.176,5,1.04,1.92
28-Mar-23,Thndr,,,TopUp,300,0,0,0
28-Mar-23,Thndr,RMDA,0,Buy,2.04,100,1.15,205.15
28-Mar-23,Thndr,CCAP,0,Buy,1.79,50,1.07,90.57
11-Apr-23,Thndr,,,TopUp,100,0,0,0
11-Apr-23,Thndr,FWRY,0,Sell,5.7,30,1.14,169.86
11-Apr-23,Thndr,EGCH,0,Sell,7.1,5,1.04,34.46
12-Apr-23,Thndr,RMDA,0,Buy,2.18,140,0,305.2
27-Apr-23,Thndr,,,TopUp,150,0,0,0
2-May-23,Thndr,,,TopUp,3000,0,0,0
11-May-23,Thndr,,,TopUp,300,0,0,0
15-May-23,Thndr,SKPC,0,Buy,22.75,124,3.11,2824.11
15-May-23,Thndr,RMDA,0,Buy,2.35,260,1.46,612.46
18-May-23,Thndr,,,TopUp,2000,0,0,0
18-May-23,Thndr,SKPC,0,Buy,19.5,90,2.33,1757.33
23-May-23,Thndr,SKPC,0,Dividend,,0,0,17.09
4-Jun-23,Thndr,CCAP,0,Sell,2.62,150,1.3,391.7
5-Jun-23,Thndr,PHDC,0,Sell,2.16,250,1.4,538.6
4-Jun-23,Thndr,RMDA,0,Buy,2.33,200,1.35,467.35
5-Jun-23,Thndr,AZS,0,Sell,12.93848,7,0,90.56936
6-Jun-23,Thndr,AZO,0,Sell,15.89139,8,1.52,125.61112
11-Jun-23,Thndr,CI30,0,Sell,11.911,10,0,119.11
6-Jul-23,Thndr,OIH,0,Buy,0.235,465,1.08,110.355
25-Jul-23,Thndr,RMDA,0,Buy,2.22,400,1.66,889.66
27-Jul-23,Thndr,,,TopUp,1700,0,0,0
1-Aug-23,Thndr,RMDA,0,Buy,2.17,800,2.3,1738.3
3-Aug-23,Thndr,,,TopUp,5000,0,0,0
